Ground Truth,Modified RAG Answer,Traditional RAG Answer,BERTScore for Modified,Exact Match for Modified,BLEU Score for Modified,ROUGE-1 for Modified,ROUGE-2 for Modified,ROUGE-L for Modified,BERTScore for Traditional,Exact Match for Traditional,BLEU Score for Traditional,ROUGE-1 for Traditional,ROUGE-2 for Traditional,ROUGE-L for Traditional
economics,Professor Mark Long had an economics degree.,Professor Mark Long had a degree in Economics.,0.858752608,0,0.033031643,0.25,0,0.25,0.860140264,0,0,0.222222222,0,0.222222222
2007,Long published his study in 2019.,1976,0.845377207,0,0,0,0,0,0.999706268,0,0,0,0,0
increasing minority enrollment in high schools,"Long's report explains that the increase in minority enrollment was due to the state's adoption of the ""top 10 percent"" rule.","Long's report explained apparent rebounds of minority enrollment in public flagship universities in California, Texas, and Washington as ineffective alternatives to affirmative action.",0.877986848,0,0.021377724,0.275862069,0.074074074,0.206896552,0.887146771,0,0.040990938,0.2,0.142857143,0.2
white students,White students.,class-based style affirmative action would supposedly benefit middle- and upper-class African Americans and Hispanic Americans at the expense of lower-class European Americans and Asian Americans,0.982174933,0,0,1,1,1,0.818785846,0,0,0,0,0
14,52%,52%,0.911497176,0,0,0,0,0,0.911497176,0,0,0,0,0
Office for Civil Rights,Li filed a civil rights complaint with the Office for Civil Rights against Princeton University.,Li filed a civil rights complaint with the Office for Civil Rights against Princeton University.,0.86203593,0,0.164519294,0.421052632,0.352941176,0.421052632,0.86203593,0,0.164519294,0.421052632,0.352941176,0.421052632
Princeton University,Princeton University,Princeton University,1,1,0.316227766,1,1,1,1,1,0.316227766,1,1,1
Janet Rapelye,Janet Rapelye was the Dean of Admissions at Princeton University at the time of the complaint.,Janet Rapelye,0.887636781,0,0.026012784,0.222222222,0.125,0.222222222,0.99999994,1,0.316227766,1,1,1
many others had far better qualifications,Princeton claimed that they rejected Li's application due to his race.,"Princeton claimed that Jian Li was not admitted because ""many others had far better qualifications.""",0.861114323,0,0,0,0,0,0.896500409,0,0.164519294,0.571428571,0.526315789,0.571428571
placement on the waitlist,"Instead of a straight rejection, Li was placed on the waitlist.",Sorry. I cannot find the answer based on the context.,0.89311403,0,0.039863571,0.4,0.307692308,0.4,0.863945425,0,0.044632361,0.285714286,0.166666667,0.285714286
University of Texas,Harvard University,UNC-Chapel Hill,0.867506504,0,0.090697488,0.4,0,0.4,0.771500647,0,0,0,0,0
race-conscious policy,The plaintiffs claimed that the university had an admissions policy that gave preferential treatment to minority applicants based on their race.,The plaintiffs claimed that UNC-Chapel Hill had an admissions policy that discriminated against white and Asian students.,0.837884605,0,0.009134424,0.166666667,0,0.083333333,0.834293604,0,0.011502784,0.095238095,0,0.095238095
their civil and constitutional rights,The admissions policy of the University of Texas supposedly violated the law by banning any use of race in school admissions.,"The admissions policy of the University of Texas was supposed to have violated their civil and constitutional rights by having a ""race-conscious policy"".",0.822250962,0,0,0,0,0,0.86488831,0,0.15415065,0.344827586,0.296296296,0.344827586
US Court of Appeals for the Fifth Circuit,The American Association of University Professors (AAUP) concluded that affirmative action promoted diversity within colleges and universities.,The American Association of University Professors (AAUP) concluded that affirmative action promoted diversity within colleges and universities in the year 2000.,0.802291214,0,0.011502784,0.16,0,0.08,0.804329693,0,0.010862722,0.137931034,0,0.137931034
Jun-16,The Supreme Court will likely hear the case for the second time in June 2015.,The Supreme Court will likely hear the case for the second time in June 2016.,0.841371,0,0.013217948,0.117647059,0,0.117647059,0.851347685,0,0.013217948,0.235294118,0.133333333,0.235294118
"November 17, 2014","Lawsuits were filed against Harvard and Chapel Hill on March 10, 2022.","Lawsuits were filed against Harvard and Chapel Hill on November 17, 2014.",0.856110156,0,0,0,0,0,0.880279839,0,0.036020803,0.4,0.307692308,0.4
Students for Fair Admissions,Students for Fair Admissions,Students for Fair Admissions filed the lawsuits against Harvard University and the University of North Carolina at Chapel Hill.,1.000000238,1,1,1,1,1,0.875494361,0,0.126737185,0.347826087,0.285714286,0.347826087
white,"The alleged discrimination against Asian students was not limited to them. Minorities and women have faced discrimination in schools and businesses for many years, resulting in unfair advantages for whites and males in education and employment.",Sorry. I cannot find the answer based on the context.,0.801944792,0,0,0.054054054,0,0.054054054,0.844508946,0,0,0,0,0
Project on Fair Representation,The Students for Fair Admissions are an offshoot of the Project on Fair Representation.,The Students for Fair Admissions is an offshoot of the Project on Fair Representation.,0.880093277,0,0.070693011,0.444444444,0.375,0.444444444,0.880381465,0,0.070693011,0.444444444,0.375,0.444444444
until the U.S. Supreme Court provides clarification of relevant law,The Universities are waiting for clarification from the Supreme Court in the case of Fisher v. University of Texas at Austin before proceeding with their lawsuit against Harvard and UNC-Chapel Hill.,The Universities are waiting for clarification from the Supreme Court in the Fisher v. University of Texas at Austin case before proceeding with their lawsuit against Harvard and UNC Chapel Hill.,0.865221441,0,0.016041049,0.23255814,0.048780488,0.186046512,0.869359612,0,0.016041049,0.238095238,0.05,0.19047619
more than 60,More than 60,60 Asian-American organizations,0.997013986,0,0.240281141,1,1,1,0.840231955,0,0.113621937,0.285714286,0,0.285714286
Education and Justice Departments,The organizations filed complaints with the university.,The organizations filed complaints with the Education and Justice Department.,0.825079143,0,0,0,0,0,0.86351043,0,0.104455227,0.571428571,0.5,0.571428571
Harvard University,The target of the filing was NAACP labor secretary Herbert Hill.,The filing was directed at the NAACP.,0.810672224,0,0,0,0,0,0.83446008,0,0,0,0,0
top-one-percent grade point averages,Sorry. I cannot find the answer based on the context.,Sorry. I cannot find the answer based on the context.,0.838355362,0,0,0,0,0,0.838355303,0,0,0,0,0
the Students for Fair Admissions lawsuit makes similar allegations,The lawsuit was eventually dismissed because the Supreme Court ruled in favor of the University of Texas' admissions policy.,The lawsuit was eventually dismissed because it made similar allegations as another complaint that had been previously dismissed.,0.860412478,0,0.012109013,0.214285714,0,0.142857143,0.865014255,0,0.025281169,0.296296296,0.08,0.296296296
fleet carrier,The largest type of carrier is an aircraft carrier.,"The largest type of carrier is a fleet carrier, which is intended to operate with the main fleet and usually provides an offensive capability.",0.86536324,0,0.023980297,0.181818182,0,0.181818182,0.858268261,0,0.00941049,0.153846154,0.083333333,0.153846154
offensive,A fleet carrier offers an offensive capability and can operate with the main fleet.,A fleet carrier offers an offensive capability and allows a naval force to project air power worldwide without depending on local bases for staging aircraft operations.,0.817919195,0,0.014283633,0.133333333,0,0.133333333,0.801335275,0,0.007265858,0.074074074,0,0.074074074
to provide defense for convoys of ships,Escort carriers were developed to provide defense for convoys of ships and were smaller and slower with lower numbers of aircraft carried.,Escort carriers were developed to provide defense for convoys of ships.,0.896625817,0,0.263004651,0.482758621,0.444444444,0.482758621,0.92453599,0,0.461736631,0.777777778,0.75,0.777777778
mercantile hulls,Most escort carriers were built from merchant ships that had been converted into aircraft carriers.,Most escort carriers were built from mercantile hulls or bulk cargo ships with a flight deck added on top.,0.809833169,0,0,0,0,0,0.835526288,0,0.021533209,0.19047619,0.105263158,0.19047619
heavy aviation cruisers,"""Heavy aviation cruisers""",Soviet aircraft carriers now in use by Russia are actually called heavy aviation cruisers,0.941100001,0,0.113621937,1,1,1,0.881246746,0,0.070693011,0.352941176,0.266666667,0.352941176
Escort,The USS Bogue was an escort aircraft carrier that was purpose-built.,The USS Bogue was an escort aircraft carrier.,0.790543914,0,0,0.153846154,0,0.153846154,0.79131335,0,0,0.222222222,0,0.222222222
light,"The USS Independence was an aircraft carrier built by the US during World War II. It represented a larger and more ""militarized"" version of the escort carrier with similar complement but the advantage of speed from its converted cruiser hulls.",The USS Independence was an escort carrier.,0.79106766,0,0,0,0,0,0.837145209,0,0,0,0,0
speed,Light carriers had a faster speed and were larger than escort carriers.,"Light carriers had faster speeds and were designed to provide air superiority cover for major fleets, while escort carriers were slower and developed to provide defense for convoys of ships with lower numbers of aircraft carried.",0.824159563,0,0.017033186,0.153846154,0,0.153846154,0.803544044,0,0,0.054054054,0,0.054054054
3 years,3 years,3 years,0.999999642,1,0.316227766,1,1,1,0.999999642,1,0.316227766,1,1,1
Royal Navy,The UK 1941 Design Light Fleet Carriers served during the war,"During World War II, these ships would become known as fleet carriers",0.851751149,0,0,0,0,0,0.820307612,0,0,0,0,0
2016,2011,Russia's United Shipbuilding Corporation expected to begin design work for a new carrier in 2016 with a goal of beginning construction in 2018 and having the carrier achieve initial operational capability by 2023.,0.953938782,0,0,0,0,0,0.795012534,0,0.005648892,0.057142857,0,0.057142857
2023,2018,2023,0.882710338,0,0,0,0,0,0.999999881,1,0.177827941,1,0,1
Russian newspaper,Izvestiya was a Russian newspaper that reported on the construction of a new shipyard capable of building large hull ships and two nuclear-powered aircraft carriers by 2027.,Izvestiya was a Russian newspaper that reported on 3 November 2011 that Moscow would build two nuclear-powered aircraft carriers by 2027.,0.832869351,0,0.014761667,0.133333333,0.071428571,0.133333333,0.829009473,0,0.019316954,0.166666667,0.090909091,0.166666667
Murmansk,The Northern Fleets nuclear-powered aircraft carrier was supposed to be stationed in the Pacific Ocean.,"The Northern Fleets nuclear-powered aircraft carrier was supposed to be stationed in the Atlantic Ocean, near the United States.",0.776653945,0,0,0,0,0,0.77313143,0,0,0,0,0
Vladivostok,The Pacific Fleets nuclear-powered aircraft carrier was supposed to be stationed in the Pacific Ocean.,The Pacific Fleets nuclear-powered aircraft carrier was supposed to be stationed in the Pacific Ocean.,0.755863011,0,0,0,0,0,0.755862951,0,0,0,0,0
aircraft carriers,"Aircraft carriers have a flat-top flight deck, which launches and recovers aircraft. The flight deck is where the most notable differences between a carrier and a land runway are found.",aircraft carriers,0.860093236,0,0.006244386,0.121212121,0.064516129,0.121212121,0.999999702,1,0.316227766,1,1,1
flat-top flight deck,Aircraft carriers feature a ski-jump ramp to aid in launching and recovering aircraft.,aircraft carriers feature ski-jump ramps to aid in launching and recovering aircraft.,0.854978323,0,0,0,0,0,0.857091367,0,0,0,0,0
The flight deck,The flight deck is where the most notable differences between a carrier and a land runway are found.,The flight deck is where the most notable differences between a carrier and a land runway are found.,0.871215403,0,0.053463163,0.285714286,0.210526316,0.285714286,0.871215403,0,0.053463163,0.285714286,0.210526316,0.285714286
a full-length runway would be costly to construct and maintain,"Ships have shorter runways than land runways due to constraints on the carrier, including the fact that it is a ship and would be costly to construct and maintain a full-length runway.",Ships have shorter runways because it is costly to construct and maintain a full-length runway on a ship.,0.905446887,0,0.195472157,0.5,0.428571429,0.363636364,0.921347141,0,0.268905472,0.6,0.5,0.4
accelerate more quickly to gain lift,Aircraft need to accelerate more quickly when using shorter runway lengths on aircraft carriers.,Aircraft need to accelerate more quickly in order to gain lift when using shorter runway lengths.,0.881769061,0,0.075964585,0.4,0.222222222,0.3,0.906529307,0,0.102385782,0.545454545,0.4,0.545454545
early 1950s,The practice of recovering aircraft at an angle started on conventional carriers in the early 1950s,1918,0.858469546,0,0.026012784,0.222222222,0.125,0.222222222,0.843369663,0,0,0,0,0
hitting aircraft parked forward,The risk of hitting aircraft parked forward is avoided by using an angled deck.,Aircraft avoid the risk of hitting parked aircraft by using an angled deck.,0.889902472,0,0.177783512,0.444444444,0.375,0.444444444,0.879537702,0,0.020448007,0.352941176,0,0.235294118
one or two,Yes,1,0.874670148,0,0,0,0,0,0.880582094,0,0,0,0,0
two,1 or 2,One or two,0.865130603,0,0,0,0,0,0.878778815,0,0.113621937,0.5,0,0.5
An angled deck,The angled deck improves launch and recovery cycle flexibility with the option of simultaneous launching and recovery of aircraft.,"The ""ski-jump"" ramp is an example of a design feature that improves launch and recovery cycle flexibility.",0.896025121,0,0.021533209,0.181818182,0.1,0.181818182,0.859025538,0,0,0.095238095,0,0.095238095
the forward end of the flight deck,Ski-jump ramps are located at the forward end of the flight deck on aircraft carriers.,Ski-jump ramps are located at the forward end of the flight deck on aircraft carriers.,0.900431275,0,0.40016016,0.608695652,0.571428571,0.608695652,0.900431275,0,0.40016016,0.608695652,0.571428571,0.608695652
take off at far higher weights,Ski-jump ramps allow STOVL aircraft to take off at higher weights than they could with a flat deck.,Ski-jump ramps allow STOVL aircraft to take off at higher weights than they could with a flat deck.,0.843214929,0,0.067226368,0.4,0.260869565,0.4,0.843214929,0,0.067226368,0.4,0.260869565,0.4
the Royal Navy,The Royal Navy originally developed the ski-jump ramp.,The Royal Navy originally developed the ski-jump ramp.,0.899376094,0,0.065005933,0.5,0.4,0.5,0.899376094,0,0.065005933,0.5,0.4,0.5
some of the forward rolling movement of the aircraft into vertical velocity,The ski-jump ramp converts forward rolling movement into vertical velocity in order to be successful.,A ski-jump ramp converts forward rolling movement into vertical velocity in order to be successful.,0.894611835,0,0.110020683,0.5,0.307692308,0.5,0.894608974,0,0.110020683,0.428571429,0.307692308,0.428571429
either stalling out or crashing directly into the sea,The ski-jump ramp prevents a fully loaded and fueled aircraft from stalling and losing lift during takeoff by providing additional airspeed and altitude to maintain stable flight.,The ski-jump ramp prevents a fully loaded and fueled aircraft from taking off vertically from a spot on the deck.,0.842841983,0,0.006980361,0.108108108,0,0.054054054,0.849647939,0,0.009629944,0.066666667,0,0.066666667
full-length,Aircraft carriers are equipped with ski-jump ramps at the forward end of the flight deck.,aircraft carriers are equipped with flat-top flight decks,0.84889549,0,0,0,0,0,0.850429177,0,0,0,0,0
"carrying, arming, deploying, and recovering",Aircraft carriers serve as platforms for launching and recovering naval aircraft.,"Aircraft carriers serve as mobile airbases for aircraft, allowing them to operate from sea without relying on land bases.",0.854708374,0,0.039863571,0.25,0.142857143,0.25,0.832213342,0,0,0,0,0
An aircraft carrier,"Typically, an aircraft carrier serves as the capital ship of any fleet.","Typically, an aircraft carrier is the capital ship of any fleet.",0.898472488,0,0.036020803,0.4,0.307692308,0.4,0.895994782,0,0.039863571,0.428571429,0.333333333,0.428571429
project air power worldwide without depending on local bases,Aircraft carriers allow naval forces to project air power worldwide without relying on local bases for staging aircraft operations.,Aircraft carriers allow naval forces to project air power worldwide without depending on local bases for staging aircraft operations.,0.92172116,0,0.253474371,0.571428571,0.461538462,0.571428571,0.924871802,0,0.424616332,0.642857143,0.615384615,0.642857143
nuclear-powered warships,"The old converted cruiser aircraft carriers have evolved into cargo ships, cruisers, battlecruisers, and battleships.",The old converted cruiser aircraft carriers have evolved into surface combat ships.,0.866982102,0,0,0,0,0,0.87682569,0,0,0,0,0
1903,1903,1903,0.999999225,1,0.177827941,1,0,1,0.999999225,1,0.177827941,1,0,1
1910,1903,1911,0.998855114,0,0,0,0,0,0.999384105,0,0,0,0,0
1911,1911,1911,0.999999881,1,0.177827941,1,0,1,0.999999881,1,0.177827941,1,0,1
the world's first successful ship-launched air raid,"The Wakamiya conducted the world's first successful ship-launched air raid on September 6, 1914, when it launched an attack against the Austro-Hungarian cruiser SMS Kaiserin Elisabeth and the German gunboat Jaguar in Kiaochow Bay off Tsingtao.","The Imperial Japanese Navy Wakamiya conducted the world's first successful ship-launched air raid on September 6, 1914.",0.869884849,0,0.156127344,0.375,0.347826087,0.375,0.923675656,0,0.348235283,0.642857143,0.615384615,0.642857143
the Tondern Raid in July 1918,"The first carrier-launched airstrike occurred on July 19, 1918, when a Sopwith Pup from HMS Argus attacked a German submarine in the English Channel.",The first carrier-launched airstrike was the Tondern Raid in July 1918.,0.85707128,0,0.010414419,0.258064516,0,0.193548387,0.92961669,0,0.35084397,0.666666667,0.625,0.666666667
the battleship,The HMS Argus was originally known as being the capital ship of the fleet.,The HMS Argus was originally known as being the capital ship of the fleet.,0.858701408,0,0.014283633,0.125,0,0.125,0.858701408,0,0.014283633,0.125,0,0.125
World War II,The capital ships of the fleet were known as aircraft carriers from the time they were commissioned in 1924 onwards.,The development of flattop vessels produced the first large fleet ships.,0.825978994,0,0,0,0,0,0.833027661,0,0,0,0,0
Supercarriers,"The type of carrier capable of displacing 75,000 tonnes or greater is a supercarrier.","The type of carrier capable of displacing 75,000 tonnes or greater is called a supercarrier.",0.825516045,0,0,0.125,0,0.125,0.823856473,0,0,0.117647059,0,0.117647059
Amphibious assault ships,"The ships used for carrying and landing Marines are amphibious assault ships, also known as ""commando carriers"" or ""helicopter carriers.""","The ships used for carrying and landing Marines are amphibious assault ships, also known as ""commando carriers"" or ""helicopter carriers.""",0.843548298,0,0.011451997,0.260869565,0.19047619,0.260869565,0.843548298,0,0.011451997,0.260869565,0.19047619,0.260869565
helicopters,Amphibious assault ships need a large contingent of helicopters for carrying Marines.,Amphibious assault ships need helicopters for carrying Marines.,0.808695018,0,0.017033186,0.153846154,0,0.153846154,0.808530569,0,0.02777619,0.222222222,0,0.222222222
The Royal Australian Navy,The Royal Australian Navy is in the process of procuring two Canberra-class LHD's.,The Royal Australian Navy,0.900971472,0,0.193385314,0.421052632,0.352941176,0.421052632,0.999999881,1,1,1,1,1
the largest in Australian naval history,The Canberra-class LHDs will be the largest warships ever built for the Royal Navy.,"The Canberra-class LHDs will be the largest warships ever built for the Royal Navy and the ships primary roles are to embark, transport and deploy an embarked force and to carry out or support.",0.875667214,0,0.030206205,0.19047619,0.105263158,0.19047619,0.850086868,0,0.011577942,0.097560976,0.051282051,0.097560976
"to embark, transport and deploy an embarked force","The primary role of the Canberra-class LDH is to embark, transport and deploy an embarked force and to carry out or support operations related to that force.","Their primary roles are to embark, transport and deploy an embarked force and to carry out or support",0.909555912,0,0.251307373,0.444444444,0.411764706,0.444444444,0.916974485,0,0.388905561,0.615384615,0.583333333,0.615384615
"1,000 troops and their supporting vehicles","The Canbera-class LHD is capable of maintaining an amphibious capability of 1,000 troops and their supporting vehicles (tanks, armored personnel carriers etc.).","The Canbera-class LHD has an amphibious capability of 1,000 troops and their supporting vehicles (tanks, armored personnel carriers etc.).",0.879417419,0,0.212798828,0.451612903,0.413793103,0.451612903,0.878389418,0,0.249417472,0.5,0.461538462,0.5
multiple helicopters at one time,25,"The LHD can launch multiple helicopters at one time while maintaining an amphibious capability of 1,000 troops and their supporting vehicles (tanks, armored personnel carriers etc.).",0.829947531,0,0,0,0,0,0.866455197,0,0.135232851,0.3125,0.266666667,0.3125
"two new larger STOVL aircraft carriers, the Queen Elizabeth class",The British Navy is constructing one carrier to replace their three Invincible-class carriers.,"The British Royal Navy is constructing two new larger STOVL aircraft carriers, the Queen Elizabeth class, to replace the three Invincible-class carriers.",0.867681146,0,0,0.25,0,0.166666667,0.922399759,0,0.362275574,0.606060606,0.580645161,0.606060606
HMS Queen Elizabeth and HMS Prince of Wales,The two Queen Elizabeth class ships will be named HMS Prince of Wales and HMS Queen Elizabeth.,The Queen Elizabeth class ships will be named HMS Queen Elizabeth and HMS Prince of Wales.,0.877512753,0,0.202474697,0.64,0.52173913,0.48,0.887584388,0,0.372390989,0.666666667,0.636363636,0.666666667
2020,The Queen Elizabeth class ships are due to become operational starting in 2020.,The two Queen Elizabeth class ships are scheduled to become operational starting in 2020.,0.817031443,0,0,0.142857143,0,0.142857143,0.816053808,0,0,0.133333333,0,0.133333333
"(70, 600)","The Queen Elizabeth class ships have a displacement of 70,600 tonnes.","The Queen Elizabeth class ships have a displacement of 70,600 tonnes.",0.849025071,0,0,0.285714286,0.166666667,0.285714286,0.849025071,0,0,0.285714286,0.166666667,0.285714286
the largest warships ever built for the Royal Navy,1,"The two Queen Elizabeth ships are projected to have a displacement of 70,600 tonnes and will be able to operate up to 40 aircraft on peace time operations with a tailored group of up to 50.",0.83242029,0,0,0,0,0,0.845980227,0,0,0.043478261,0,0.043478261
"they influence the weight, type, and configuration of the aircraft that may be launched","The constraints of constructing a flight deck affect the role of a carrier strongly because they influence the weight, type, and configuration of the aircraft that may be launched.","The constraints of constructing a flight deck affect the role of a carrier by influencing factors such as take-off procedure and loading capabilities, which can impact the types of aircraft that can be used and the missions they are capable of performing.",0.931750894,0,0.416539351,0.651162791,0.634146341,0.651162791,0.884509265,0,0.013136603,0.350877193,0.036363636,0.245614035
heavy aircraft,"assist launch mechanisms are primarily used for heavy aircraft, especially those loaded with air-to-ground weapons",Assisted launch mechanisms are primarily used for heavy aircraft that are loaded with air-to-ground weapons.,0.86314714,0,0.013217948,0.210526316,0.117647059,0.210526316,0.853530467,0,0.027952556,0.210526316,0.117647059,0.210526316
deployment of heavy jets with full loadouts,CATOBAR allows for the deployment of heavy jets with full loadouts on ground-attack missions.,CATOBAR allows for heavy jets with full loadouts to be deployed on ground-attack missions.,0.903392911,0,0.432422708,0.636363636,0.6,0.636363636,0.902872741,0,0.265848358,0.545454545,0.4,0.454545455
it is cheaper to operate,STOVL is used by other navies because they are cheaper to operate and still provide good deployment capability for fighter aircraft.,STOVL is used by other navies because it allows for heavier launch weights and is more fuel efficient than CATOBAR.,0.860966384,0,0.048579568,0.307692308,0.166666667,0.307692308,0.842304945,0,0.011451997,0.16,0,0.16
conventional aircraft cannot decelerate on their own,arrestor cables are used by all carriers because they allow the carrier to recover its aircraft after landing,Carrier aircraft are heavier than most land-based planes and need an arrested-recovery system to safely stop them after landing.,0.856729805,0,0.010802315,0.08,0,0.08,0.862812459,0,0.010182426,0.071428571,0,0.071428571
to recover their aircraft,The purpose of an arrested-recovery system is to allow carriers to recover their aircraft quickly and safely without the need for a long runway.,The purpose of an arrested-recovery system is to bring aircraft to a stop in a short distance by catching arresting wires stretched across the deck.,0.86566323,0,0.098493495,0.275862069,0.222222222,0.275862069,0.842910945,0,0.009009113,0.133333333,0,0.133333333
extend a tailhook that catches on arrestor wires stretched across the deck,Aircraft extend tailhooks that catch on arrestor wires stretched across the deck to bring themselves to a stop in a short distance.,Aircraft extend a tailhook that catches on arrestor wires stretched across the deck to bring themselves to a stop in a short distance.,0.935319483,0,0.28753381,0.705882353,0.5625,0.647058824,0.939479053,0,0.486243891,0.685714286,0.666666667,0.685714286
bolt,"If it misses the arresting wires, an angled landing area gives an aircraft the ability to take off again without risk of hitting parked aircraft forward.","If it misses the arresting wires, an aircraft with an angled off access landing area can become airborne again without the risk of hitting other parked aircraft forward.",0.806823254,0,0,0,0,0,0.801124156,0,0,0,0,0
crashing into aircraft on the forward deck,A bolt can prevent an aircraft from becoming airborne again if it misses the arresting wires.,"The ""bolt"" can prevent an aircraft from becoming airborne again without the risk of hitting other aircraft parked forward.",0.864203691,0,0.014628064,0.173913043,0,0.173913043,0.86720103,0,0.012109013,0.230769231,0,0.230769231
"the shooters, the handler, and the air boss","shootist
handler
air boss","1. Shooters
2. Handler
3. Air boss",0.858238816,0,0.062504345,0.5,0.2,0.5,0.888688147,0,0.028634401,0.533333333,0.153846154,0.533333333
launching aircraft,Shooters are naval aviators or Naval Flight Officers and are responsible for,Shooters are naval aviators or Naval Flight Officers and are responsible for,0.825517535,0,0,0,0,0,0.825517535,0,0,0,0,0
the movement of aircraft before launching and after recovery,The handler is responsible for the movement of aircraft before launching.,The handler is responsible for launching aircraft before launching and after recovery.,0.900012136,0,0.35084397,0.6,0.555555556,0.6,0.9156335,0,0.317023314,0.666666667,0.526315789,0.666666667
on the Navigation Bridge,"He spends most of his time on the Navigation Bridge, one level below primary.",The captain of the ship spends most of his time on the Navigation Bridge.,0.884291291,0,0.070693011,0.444444444,0.375,0.444444444,0.893282294,0,0.070693011,0.444444444,0.375,0.444444444
the embarked admiral and his staff,The Flag Bridge area of the ship is designated for the embarked admiral and his staff.,The Flag Bridge area of the ship is designated for the embarked admiral and his staff.,0.912420988,0,0.228941569,0.545454545,0.5,0.545454545,0.912420988,0,0.228941569,0.545454545,0.5,0.545454545
"the penalty it exacts on aircraft size, payload, and fuel load","The disadvantage of the ski-jump is the penalty it exacts on aircraft size, payload, and fuel load (and thus range); heavily laden aircraft can not launch using a ski-jump because their high loaded weight requires either a longer takeoff roll than is possible on a carrier deck, or assistance from a catapult","The disadvantage of the ski-jump is that it exacts a penalty on aircraft size, payload, and fuel load, which means that heavily laden aircraft cannot launch using a ski-jump because their high loaded weight requires either a longer takeoff roll than is possible on a carrier deck or assistance from a catapult.",0.887905955,0,0.186851416,0.338461538,0.317460317,0.338461538,0.893809617,0,0.102600204,0.338461538,0.222222222,0.307692308
heavily laden aircraft,Aircraft carriers use ski-jumps to launch aircraft from their decks. Heavily laden aircraft cannot launch using a ski-jump because of their high loaded weight.,aircraft,0.849711895,0,0.016734481,0.206896552,0.148148148,0.206896552,0.8205356,0,0.024066395,0.5,0,0.5
a catapult or JATO rocket,Weather conditions,Heavy aircraft sometimes require assistance from launch mechanisms due to their weight and configuration.,0.839469612,0,0,0,0,0,0.862038791,0,0,0,0,0
would eliminate one or more helicopter landing areas,A ski-jump is not included on mixed flight deck operations where helicopters are present because it would eliminate one or more helicopter landing areas.,Ski-jumps are not included on mixed flight decks with helicopters because it would eliminate one or more helicopter landing areas.,0.89726311,0,0.239565656,0.484848485,0.451612903,0.484848485,0.891764522,0,0.291536923,0.551724138,0.518518519,0.551724138
with a minimal armament and fuel load,"The Russian SU-33 can launch from the carrier Admiral Kuznetsov by using a ski jump, which provides the necessary takeoff speed for the aircraft to become airborne.",The Russian SU-33 requires minimal armament and fuel load in order to launch from the carrier Admiral Kuznetsov.,0.826236188,0,0.006980361,0.057142857,0,0.057142857,0.881256759,0,0.201053735,0.384615385,0.333333333,0.384615385
on the pretext of use as a floating casino,The reason why China purchased the STOBAR carrier Liaoning in 1998 was on the pretext of use as a floating casino.,China purchased the STOBAR carrier Liaoning in 1998 on the pretext of use as a floating casino and later partially rebuilt it for use as a training ship.,0.898537934,0,0.328858045,0.6,0.571428571,0.6,0.887509465,0,0.280082941,0.486486486,0.457142857,0.486486486
a training ship,Liaoning is classified as a training ship intended to allow the navy to practice with carrier usage,Liaoning is classified as a training ship.,0.878213167,0,0.056929945,0.3,0.222222222,0.3,0.899879336,0,0.069853421,0.6,0.5,0.6
carrier usage,The Liaoning was intended to allow the navy to practice with carrier usage.,The Liaoning was intended to allow the navy to practice with carrier usage.,0.848729789,0,0.015537126,0.266666667,0.153846154,0.266666667,0.848729789,0,0.015537126,0.266666667,0.153846154,0.266666667
it is a training ship,"According to the text, Liaoning is not assigned to any of China's operation fleets because it is a training ship.",The reason Liaoning is not assigned to any of China's operation fleets is because it is a training ship intended to allow the navy to practice with carrier usage.,0.881257534,0,0.11986063,0.384615385,0.333333333,0.384615385,0.872349381,0,0.120454222,0.285714286,0.242424242,0.285714286
this is the first aircraft carrier in their possession,"The People's Daily reported that it will take four to five years for Liaoning to reach full capacity, mainly due to training and coordination which will take significant amount of time for Chinese PLA Navy to complete as this is",The Chinese PLA Navy needed 4-5 years for Liaoning to reach full capacity due to training and coordination which will take significant amount of time for Chinese PLA Navy to complete as this is their first aircraft carrier.,0.832901776,0,0.009771923,0.12,0.041666667,0.08,0.867428064,0,0.015413847,0.291666667,0.130434783,0.208333333
India,The Indian government started construction of a Vikrant-class aircraft carrier in 2009.,The Indian government started construction of a Vikrant-class aircraft carrier in 2009.,0.810355663,0,0,0,0,0,0.810355663,0,0,0,0,0
four gas-turbine engines,The Indian-made ship will be powered by four gas-turbine engines.,The Indian-made ship will be powered by four gas-turbine engines.,0.904296398,0,0.044632361,0.5,0.428571429,0.5,0.904296398,0,0.044632361,0.5,0.428571429,0.5
"8,000 nautical miles","The range of the Indian-made ship carrying 160 officers, 1400 sailors, and 30 aircraft will be 8,000 nautical miles (15,000 kilometers).","The range of the Indian-made ship carrying 160 officers, 1400 sailors, and 30 aircraft will be 8,000 nautical miles (15,000 kilometres).",0.869182408,0,0.045208382,0.285714286,0.230769231,0.285714286,0.868623435,0,0.045208382,0.285714286,0.230769231,0.285714286
Cochin Shipyard,The Indian Navy is constructing the Vikrant-class aircraft carrier at Cochin Shipyard.,The Indian Navy is constructing the Vikrant-class aircraft carrier at Cochin Shipyard.,0.871913433,0,0.017033186,0.266666667,0.153846154,0.266666667,0.871913433,0,0.017033186,0.266666667,0.153846154,0.266666667
