question,answers,modified_rag_retrieved_context,modified_rag_refined_answer,modified_rag_case,modified_rag_retrieval_time,modified_rag_generation_time,modified_rag_total_time,traditional_rag_retrieved_context,traditional_rag_refined_answer,traditional_rag_retrieval_time,traditional_rag_generation_time,traditional_rag_total_time
When did the Olympic torch reach Beijing?,Mar-31,"Answer: On March 31.
Score: 0.90
Answer: According to Chinese media, the Olympic torch arrived in Saint Petersburg, Russia.
Score: 0.84
Answer: According to Chinese media, the city where the Olympic torch arrived was Saint Petersburg.
Score: 0.82",Mar-31,Q-A Index,3.08,2.95,6.03,"and sabotaging the Beijing Olympic Games"". However, the Chinese media published articles about
crowds supporting the torch relay. , ' Russia: On April 5 the Olympic torch arrived at Saint
2008_Summer_Olympics_torch_relay
Petersburg, Russia. The length of the torch relay route in the city was 20 km, with the start at the

one country, two systems policy. Hong Kong: The event was held in Hong Kong on May 2. In the
ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang
handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then
traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,

extinguished at night, on airplanes, in bad weather, or during protests (such as the several
occasions in Paris), the Olympic Flame is kept alight in a set of 8 lanterns.[citation needed After
being lit at the birthplace of the Olympic Games in Olympia, Greece on March 24, the torch traveled
to the Panathinaiko Stadium in Athens, and then to Beijing, arriving on March 31. From Beijing, the",Mar-31,2.67,3.16,5.83
How many continents did the torch visit after Beijing?,six,"Answer: The text does not provide information on the number of countries visited during the torch's relay through Mainland China.
Score: 0.86
Answer: On March 31.
Score: 0.86
Answer: The torch traveled to two locations: Olympia and Athens before arriving in Beijing.
Score: 0.84",5,Q-A Index,2.88,2.81,5.69,"torch was following a route passing through six continents. The torch has visited cities along the Silk
Road, symbolizing ancient links between China and the rest of the world. The relay also included an
ascent with the flame to the top of Mount Everest on the border of Nepal and Tibet, China from the
Chinese side, which was closed specially for the event. Up to 600 pro-Tibet protesters were

Thailand: The April 18 relay through Bangkok was the Olympic flame\'s first visit to Thailand. The
relay covered just over 10 km, and included Bangkok\'s Chinatown. The torch was carried past
Democracy Monument, Chitralada Palace and a number of other city landmarks. M.R. Narisa
Chakrabongse, Green World Foundation (GWF) chairwoman, withdrew from the torch-running

[their] patriotic enthusiasm calmly and rationally, and express patriotic aspiration in an orderly and
legal manner"". China: The torch returned to China for the first time since April. The torch arrived in
Sanya, Hainan on May 4 with celebrations attended by International Olympic Committee (IOC)
officials and Chinese big names like Jackie Chan. The entire relay through Mainland China was",The torch visited six continents.,2.71,3.57,6.28
The torch was on what road to symbolize historic links between China and the world?,Silk Road,"torch was following a route passing through six continents. The torch has visited cities along the Silk
Road, symbolizing ancient links between China and the rest of the world. The relay also included an
ascent with the flame to the top of Mount Everest on the border of Nepal and Tibet, China from the
Chinese side, which was closed specially for the event. Up to 600 pro-Tibet protesters were
[their] patriotic enthusiasm calmly and rationally, and express patriotic aspiration in an orderly and
legal manner"". China: The torch returned to China for the first time since April. The torch arrived in
Sanya, Hainan on May 4 with celebrations attended by International Olympic Committee (IOC)
officials and Chinese big names like Jackie Chan. The entire relay through Mainland China was
one country, two systems policy. Hong Kong: The event was held in Hong Kong on May 2. In the
ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang
handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then
traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,",The torch was on the Silk Road to symbolize historic links between China and the world.,Traditional RAG,2.7,5.34,8.04,"torch was following a route passing through six continents. The torch has visited cities along the Silk
Road, symbolizing ancient links between China and the rest of the world. The relay also included an
ascent with the flame to the top of Mount Everest on the border of Nepal and Tibet, China from the
Chinese side, which was closed specially for the event. Up to 600 pro-Tibet protesters were

[their] patriotic enthusiasm calmly and rationally, and express patriotic aspiration in an orderly and
legal manner"". China: The torch returned to China for the first time since April. The torch arrived in
Sanya, Hainan on May 4 with celebrations attended by International Olympic Committee (IOC)
officials and Chinese big names like Jackie Chan. The entire relay through Mainland China was

one country, two systems policy. Hong Kong: The event was held in Hong Kong on May 2. In the
ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang
handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then
traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,",The Silk Road,2.77,2.76,5.54
Where was the Olympic torch lit?,"Olympia, Greece","Answer: The text does not mention any other city besides the 5 cities mentioned earlier.
Score: 0.85
Answer: In Olympia, Greece on March 24.
Score: 0.85
Answer: Kazakhstan.
Score: 0.85","Olympic torch was lit in Olympia, Greece on March 24.",Q-A Index,2.92,4.49,7.41,"extinguished at night, on airplanes, in bad weather, or during protests (such as the several
occasions in Paris), the Olympic Flame is kept alight in a set of 8 lanterns.[citation needed After
being lit at the birthplace of the Olympic Games in Olympia, Greece on March 24, the torch traveled
to the Panathinaiko Stadium in Athens, and then to Beijing, arriving on March 31. From Beijing, the

one country, two systems policy. Hong Kong: The event was held in Hong Kong on May 2. In the
ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang
handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then
traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,

2008_Summer_Olympics_torch_relay
America: The torch relay\'s North American leg occurred in San Francisco, California on April 9. On
the day of the relay officials diverted the torch run to an unannounced route. The start was at
McCovey Cove, where Norman Bellingham of the U.S. Olympic Committee gave the torch to the first","Olympics were held in Athens, Greece",2.95,3.74,6.69
What date was the Olympic torch lit?,Mar-24,"Answer: The relay was taking place in 2008.
Score: 0.86
Answer: 2008.
Score: 0.83
Answer: The torch relay took place prior to the 2008 Summer Olympics.
Score: 0.82",2008,Q-A Index,2.8,2.96,5.76,"2008_Summer_Olympics_torch_relay
America: The torch relay\'s North American leg occurred in San Francisco, California on April 9. On
the day of the relay officials diverted the torch run to an unannounced route. The start was at
McCovey Cove, where Norman Bellingham of the U.S. Olympic Committee gave the torch to the first

one country, two systems policy. Hong Kong: The event was held in Hong Kong on May 2. In the
ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang
handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then
traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,

extinguished at night, on airplanes, in bad weather, or during protests (such as the several
occasions in Paris), the Olympic Flame is kept alight in a set of 8 lanterns.[citation needed After
being lit at the birthplace of the Olympic Games in Olympia, Greece on March 24, the torch traveled
to the Panathinaiko Stadium in Athens, and then to Beijing, arriving on March 31. From Beijing, the",Mar-24,3.05,3.16,6.21
What is the name of the stadium in Greece were the torch was taken to?,Panathinaiko Stadium,"extinguished at night, on airplanes, in bad weather, or during protests (such as the several
occasions in Paris), the Olympic Flame is kept alight in a set of 8 lanterns.[citation needed After
being lit at the birthplace of the Olympic Games in Olympia, Greece on March 24, the torch traveled
to the Panathinaiko Stadium in Athens, and then to Beijing, arriving on March 31. From Beijing, the
attempted to disrupt a speech by Liu Qi, the head of Beijing\'s Olympic organising committee during
the torch lighting ceremony in Olympia, Greece. The People\'s Republic of China called this a
""disgraceful"" attempt to sabotage the Olympics. On March 30, 2008 in Athens, during ceremonies
marking the handing over of the torch from Greek officials to organizers of the Beijing games,
Olympic flame passed next to were the Parliament House, National Mosque, KL Tower and
Merdeka Stadium. A team of 1000 personnel from the Malaysian police Special Action Squad
guarded the event and escorted the torchbearers. The last time an Olympic torch relay was held in
2008_Summer_Olympics_torch_relay",The Panathinaiko Stadium,Traditional RAG,2.77,3.58,6.35,"extinguished at night, on airplanes, in bad weather, or during protests (such as the several
occasions in Paris), the Olympic Flame is kept alight in a set of 8 lanterns.[citation needed After
being lit at the birthplace of the Olympic Games in Olympia, Greece on March 24, the torch traveled
to the Panathinaiko Stadium in Athens, and then to Beijing, arriving on March 31. From Beijing, the

attempted to disrupt a speech by Liu Qi, the head of Beijing\'s Olympic organising committee during
the torch lighting ceremony in Olympia, Greece. The People\'s Republic of China called this a
""disgraceful"" attempt to sabotage the Olympics. On March 30, 2008 in Athens, during ceremonies
marking the handing over of the torch from Greek officials to organizers of the Beijing games,

Olympic flame passed next to were the Parliament House, National Mosque, KL Tower and
Merdeka Stadium. A team of 1000 personnel from the Malaysian police Special Action Squad
guarded the event and escorted the torchbearers. The last time an Olympic torch relay was held in
2008_Summer_Olympics_torch_relay",The name of the stadium in Greece where the torch was taken to is Panathinaiko Stadium.,2.77,5.12,7.88
What date did the Olympic torch arrive at its destination in China?,March 31.,"Answer: According to Chinese media, the Olympic torch arrived in Saint Petersburg, Russia.
Score: 0.89
Answer: On March 31.
Score: 0.89
Answer: Sanya, Hainan.
Score: 0.86",Mar-31,Q-A Index,2.84,3.19,6.03,"one country, two systems policy. Hong Kong: The event was held in Hong Kong on May 2. In the
ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang
handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then
traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,

[their] patriotic enthusiasm calmly and rationally, and express patriotic aspiration in an orderly and
legal manner"". China: The torch returned to China for the first time since April. The torch arrived in
Sanya, Hainan on May 4 with celebrations attended by International Olympic Committee (IOC)
officials and Chinese big names like Jackie Chan. The entire relay through Mainland China was

and sabotaging the Beijing Olympic Games"". However, the Chinese media published articles about
crowds supporting the torch relay. , ' Russia: On April 5 the Olympic torch arrived at Saint
2008_Summer_Olympics_torch_relay
Petersburg, Russia. The length of the torch relay route in the city was 20 km, with the start at the",May-04,2.75,3.14,5.89
What mountain was the torch taken up?,Mount Everest,"torch was following a route passing through six continents. The torch has visited cities along the Silk
Road, symbolizing ancient links between China and the rest of the world. The relay also included an
ascent with the flame to the top of Mount Everest on the border of Nepal and Tibet, China from the
Chinese side, which was closed specially for the event. Up to 600 pro-Tibet protesters were
one country, two systems policy. Hong Kong: The event was held in Hong Kong on May 2. In the
ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang
handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then
traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,
Cloud"". It is made from aluminum. It is 72 centimetres high and weighs 985 grams. The torch is
designed to remain lit in 65 kilometre per hour (37 mile per hour) winds, and in rain of up to 50
millimetres (2 inches) per hour. An ignition key is used to ignite and extinguish the flame. The torch
is fueled by cans of propane. Each can will light the torch for 15 minutes. It is designed by a team",Mount Everest,Traditional RAG,2.74,3.06,5.79,"torch was following a route passing through six continents. The torch has visited cities along the Silk
Road, symbolizing ancient links between China and the rest of the world. The relay also included an
ascent with the flame to the top of Mount Everest on the border of Nepal and Tibet, China from the
Chinese side, which was closed specially for the event. Up to 600 pro-Tibet protesters were

one country, two systems policy. Hong Kong: The event was held in Hong Kong on May 2. In the
ceremony held at the Hong Kong Cultural Centre in Tsim Sha Tsui, Chief Executive Donald Tsang
handed the torch to the first torchbearer, Olympic medalist Lee Lai Shan. The torch relay then
traveled through Nathan Road, Lantau Link, Sha Tin (crossed Shing Mun River via a dragon boat,

Cloud"". It is made from aluminum. It is 72 centimetres high and weighs 985 grams. The torch is
designed to remain lit in 65 kilometre per hour (37 mile per hour) winds, and in rain of up to 50
millimetres (2 inches) per hour. An ignition key is used to ignite and extinguish the flame. The torch
is fueled by cans of propane. Each can will light the torch for 15 minutes. It is designed by a team",Mount Everest,2.71,2.5,5.21
How many people protested on the San Francisco torch route?,hundreds,"Answer: Tibet, Darfur, and the spiritual practice Falun Gong.
Score: 0.83
Answer: China.
Score: 0.76
Answer: There were pro-Tibetan independence and pro-Human Rights supporters who protested against the torch relay.
Score: 0.75",There were pro-Tibetan independence and pro-Human Rights supporters who protested against the torch relay.,Q-A Index,2.81,5.52,8.34,"San Francisco, the number of supporters were much more than the number of protesters, and in
Australia, Japan, South Korea, the counter-protesters overwhelmed the protesters. A couple of
skirmishes between the protesters and supporters were reported. No major protests were visible in
the Latin America, Africa, and Western Asia legs of the torch relay. , "" Japan: The event was held in

torch relay was protested by advocates of Tibetan independence, animal rights, and legal online
gambling, and people protesting against China's human rights record, resulting in confrontations at a
few of the relay locations. These protests, which ranged from hundreds of people in San Francisco,
to effectively none in Pyongyang, forced the path of the torch relay to be changed or shortened on a

rights concerns when the Beijing Olympic torch arrives in San Francisco on April 9. The resolution
would welcome the torch with ""alarm and protest at the failure of China to meet its past solemn
promises to the international community, including the citizens of San Francisco, to cease the
egregious and ongoing human rights abuses in China and occupied Tibet."" On April 8, numerous",The number of protesters was in the hundreds in San Francisco.,2.68,4.43,7.12
How many people protested at the Pyongyang torch route?,effectively none,"torch relay was protested by advocates of Tibetan independence, animal rights, and legal online
gambling, and people protesting against China's human rights record, resulting in confrontations at a
few of the relay locations. These protests, which ranged from hundreds of people in San Francisco,
to effectively none in Pyongyang, forced the path of the torch relay to be changed or shortened on a
repression in Tibet"", and was broken up by the police. , ' North Korea: The event was held in
Pyongyang on April 28. It was the first time that the Olympic torch has traveled to North Korea. A
crowd of thousands waving pink paper flowers and small flags with the Beijing Olympics logo were
organized by the authoritarian regime watched the beginning of the relay in Pyongyang, some
supportive Londoners. Xinhua said that protesters were ""radicals"" who ""trampled human rights"" and
whose activities were condemned by ""the people of the world who cordially love the Olympic spirit"".
The route carried the torch through six continents from March 2008 to May 2008 to August 2008.
The planned route originally included a stop in Taipei between Ho Chi Minh City and Hong Kong,",1,Traditional RAG,2.69,3,5.68,"torch relay was protested by advocates of Tibetan independence, animal rights, and legal online
gambling, and people protesting against China's human rights record, resulting in confrontations at a
few of the relay locations. These protests, which ranged from hundreds of people in San Francisco,
to effectively none in Pyongyang, forced the path of the torch relay to be changed or shortened on a

repression in Tibet"", and was broken up by the police. , ' North Korea: The event was held in
Pyongyang on April 28. It was the first time that the Olympic torch has traveled to North Korea. A
crowd of thousands waving pink paper flowers and small flags with the Beijing Olympics logo were
organized by the authoritarian regime watched the beginning of the relay in Pyongyang, some

supportive Londoners. Xinhua said that protesters were ""radicals"" who ""trampled human rights"" and
whose activities were condemned by ""the people of the world who cordially love the Olympic spirit"".
The route carried the torch through six continents from March 2008 to May 2008 to August 2008.
The planned route originally included a stop in Taipei between Ho Chi Minh City and Hong Kong,",The number of people protesting at the Pyongyang torch route was effectively none.,2.71,4.25,6.95
What were some groups doing along the torch route that was not supportive of the Olympics?,protesting,"2008_Summer_Olympics_torch_relay
were selected as torchbearers. One torchbearer could not participate due to flight delay. It was
estimated that more than 200,000 spectators came out and watched the relay. Many enthusiastic
supporters wore red shirts and waved large Chinese flags. According to Hong Kong Chief Secretary
was not impeded. Chinese immigrants also turned out in support of the Games, but only minor
scuffles were reported between both groups. Runners surrounded by rows of security carried the
Olympic flame past thousands of jubilant Argentines in the most trouble-free torch relay in nearly a
week. People showered the parade route with confetti as banks, government offices and businesses
2008_Summer_Olympics_torch_relay
men were arrested and four injured amidst scenes of mob violence. The torch route was packed
with mostly peaceful demonstrators. The public was not allowed at the parking lot where the relay
started. After the Zenkoji monks held a prayer ceremony for victims of the recent events in Tibet.",Sorry. I cannot find the answer based on the context.,Traditional RAG,2.72,4.42,7.14,"2008_Summer_Olympics_torch_relay
were selected as torchbearers. One torchbearer could not participate due to flight delay. It was
estimated that more than 200,000 spectators came out and watched the relay. Many enthusiastic
supporters wore red shirts and waved large Chinese flags. According to Hong Kong Chief Secretary

was not impeded. Chinese immigrants also turned out in support of the Games, but only minor
scuffles were reported between both groups. Runners surrounded by rows of security carried the
Olympic flame past thousands of jubilant Argentines in the most trouble-free torch relay in nearly a
week. People showered the parade route with confetti as banks, government offices and businesses

2008_Summer_Olympics_torch_relay
men were arrested and four injured amidst scenes of mob violence. The torch route was packed
with mostly peaceful demonstrators. The public was not allowed at the parking lot where the relay
started. After the Zenkoji monks held a prayer ceremony for victims of the recent events in Tibet.",Sorry. I cannot find the answer based on the context.,3.05,3.93,6.98
Who put out the torch along the route for protection?,Chinese security officials,"Answer: The Chinese ambassador.
Score: 0.83
Answer: The torch was carried by a number of runners, including M.R. Narisa Chakrabongse.
Score: 0.82
Answer: The purpose of carrying the torch was not mentioned in the text.
Score: 0.80",The Chinese ambassador.,Q-A Index,2.74,3.11,5.86,"decided to carry it and also speak out against China. The pro-Tibetan Member of Parliament
Norman Baker asked all bearers to reconsider. Amid pressure from both directions, Prime Minister
Gordon Brown welcomed the torch outside 10 Downing Street without holding or touching it. The
London relay saw the torch surrounded by what the BBC described as ""a mobile protective ring.""

showed the flame flanked by motorcycles and uniformed police officers. Two torchbearers carried
the flame running slowly behind a truck and surrounded by Olympic security guards. During the
torch relay, two torchbearers, Andrew Michael who uses a wheelchair and is the Vice President for
Sustainable Development for the Bay Area Council and Director of Partnerships For Change, and an

Australian leg of the torch relay April 24, 2008, touching the flame to light a cauldron after a run that
was only marginally marked by protests. People demonstrated both for China and for Tibet. At least
five people were arrested during the torch relay. Police said ""the five were arrested for interfering",Gordon Brown,2.8,2.96,5.76
Who condemned the various attacks on the torch relay route?,the Chinese government,"Answer: The torch relay route was seen as a symbol of China's international prestige and influence, and any disruptions or protests along the route were seen as a challenge to China's authority.
Score: 0.84
Answer: In cities along the North American and European route.
Score: 0.83
Answer: Advocates of Tibetan independence, animal rights, and legal online gambling, as well as people protesting against China's human rights record.
Score: 0.82","The various attacks on the torch relay route were condemned by international organizations such as the United Nations and Amnesty International, as well as governments around the world.",Q-A Index,2.72,6.85,9.57,"scenes that marred the relay in the UK, France and the US, the city government designed a
complex security operative to protect the torch relay, involving 1200 police officers and 3000 other
people, including public employees and volunteers. Overall, the protests were peaceful in nature,
although there were a few incidents such as the throwing of several water balloons in an attempt to

Australian leg of the torch relay April 24, 2008, touching the flame to light a cauldron after a run that
was only marginally marked by protests. People demonstrated both for China and for Tibet. At least
five people were arrested during the torch relay. Police said ""the five were arrested for interfering

torch relay was protested by advocates of Tibetan independence, animal rights, and legal online
gambling, and people protesting against China's human rights record, resulting in confrontations at a
few of the relay locations. These protests, which ranged from hundreds of people in San Francisco,
to effectively none in Pyongyang, forced the path of the torch relay to be changed or shortened on a","'Overall, the protests were peaceful in nature,'",2.88,4.13,7.01
"In San Francisco, who had a larger presence than the protesters? ",supporters,"Answer: The number of supporters in San Francisco was much more than the number of protesters.
Score: 0.85
Answer: Pro-Tibet protesters were surrounded and intimidated by groups of Chinese students.
Score: 0.75
Answer: Pro-Tibet and human rights activists.
Score: 0.75",The supporters had a larger presence than the protesters in San Francisco.,Q-A Index,2.99,4.36,7.35,"San Francisco, the number of supporters were much more than the number of protesters, and in
Australia, Japan, South Korea, the counter-protesters overwhelmed the protesters. A couple of
skirmishes between the protesters and supporters were reported. No major protests were visible in
the Latin America, Africa, and Western Asia legs of the torch relay. , "" Japan: The event was held in

there would be no closing ceremony at Justin Herman Plaza, there were angry reactions. One
demonstrator was quoted as saying that the route changes were an effort to ""thwart any organized
protest that had been planned."" San Francisco Board of Supervisors President Aaron Peskin, a critic
of Mayor Gavin Newsom, said that it was a ""cynical plan to please the Bush State Department and

rights concerns when the Beijing Olympic torch arrives in San Francisco on April 9. The resolution
would welcome the torch with ""alarm and protest at the failure of China to meet its past solemn
promises to the international community, including the citizens of San Francisco, to cease the
egregious and ongoing human rights abuses in China and occupied Tibet."" On April 8, numerous",The supporters had a larger presence than the protesters in San Francisco.,2.67,4.77,7.45
Who overwhelmed the protesters in Japan?,counter-protesters,"San Francisco, the number of supporters were much more than the number of protesters, and in
Australia, Japan, South Korea, the counter-protesters overwhelmed the protesters. A couple of
skirmishes between the protesters and supporters were reported. No major protests were visible in
the Latin America, Africa, and Western Asia legs of the torch relay. , "" Japan: The event was held in
canceled out of concern about disruptions caused by demonstrators protesting against China's
recent crackdown in Tibet. Thousands of riot police were mobilized to protect the torch along its
route. The show of force kept most protesters in check, but slogans shouted by pro-China or
pro-Tibet demonstrators, Japanese nationalists, and human rights organizations flooded the air. Five
failed. Fighting broke out near the beginning of the relay between a group of 500 Chinese
supporters and approximately 50 protesters who carried a banner that read: ""Free North Korean
refugees in China."" The students threw stones and water bottles as approximately 2,500 police tried
to keep the groups separated. Police said they arrested five people, including a Chinese student",The protesters in Japan were overwhelmed by counter-protesters and riot police.,Traditional RAG,2.74,4.87,7.61,"San Francisco, the number of supporters were much more than the number of protesters, and in
Australia, Japan, South Korea, the counter-protesters overwhelmed the protesters. A couple of
skirmishes between the protesters and supporters were reported. No major protests were visible in
the Latin America, Africa, and Western Asia legs of the torch relay. , "" Japan: The event was held in

canceled out of concern about disruptions caused by demonstrators protesting against China's
recent crackdown in Tibet. Thousands of riot police were mobilized to protect the torch along its
route. The show of force kept most protesters in check, but slogans shouted by pro-China or
pro-Tibet demonstrators, Japanese nationalists, and human rights organizations flooded the air. Five

failed. Fighting broke out near the beginning of the relay between a group of 500 Chinese
supporters and approximately 50 protesters who carried a banner that read: ""Free North Korean
refugees in China."" The students threw stones and water bottles as approximately 2,500 police tried
to keep the groups separated. Police said they arrested five people, including a Chinese student",The protesters in Japan were overwhelmed by counter-protesters.,2.83,4.21,7.05
